 [Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933076556.45049,08/17/2024,4:13 pm
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Magnetite Standard,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,3.32,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.12,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time.Stamp..sec.,Temperature..K.,Magnetic.Field..Oe.,Moment..emu.,M..Std..Err...emu.,Transport.Action,Averaging.Time..sec.,Frequency..Hz.,Peak.Amplitude..mm.,Center.Position..mm.,Lockin.Signal...V.,Lockin.Signal..V.,Range,M..Quad..Signal..emu.,AC.Moment..emu.,AC.M..Std.Err...emu.,AC.Phase..deg.,AC.Phase.Std..Err...deg.,AC.Susceptibility..emu.Oe.,AC.Suscept..Std.Err...emu.Oe.,AC.X...emu.Oe.,AC.X..Std.Err...emu.Oe.,AC.X....emu.Oe.,AC.X...Std.Err...emu.Oe.,AC.Drive..Oe.,AC.Frequency..Hz.,AC.Averaging.Time..sec.,AC.Cycles,AC.Range,AC.Measure.Type,AC.Signal...V.,AC.Signal....V.,AC.Trim.Coil.Ratio,AC.Trim.Coil.Phase,Min..Temperature..K.,Max..Temperature..K.,Min..Field..Oe.,Max..Field..Oe.,Mass..grams.,Motor.Lag..deg.,Pressure..Torr.,Measure.Count,Measurement.Number,SQUID.Status..code.,Motor.Status..code.,Measure.Status..code.,Motor.Current..amps.,Motor.Temp...C.,Temp..Status..code.,Field.Status..code.,Chamber.Status..code.,Chamber.Temp..K.,Redirection.State,Evercool.Status,Average.Temp..K.,Rotation.Angle..deg.,Rotator.state,DC.Moment.Fixed.Ctr..emu.,DC.Moment.Err.Fixed.Ctr..emu.,DC.Moment.Free.Ctr..emu.,DC.Moment.Err.Free.Ctr..emu.,DC.Fixed.Fit,DC.Free.Fit,DC.Calculated.Center..mm.,DC.Calculated.Center.Err..mm.,DC.Scan.Length..mm.,DC.Scan.Time..s.,DC.Number.of.Points,DC.Squid.Drift,DC.Min.V..V.,DC.Max.V..V.,DC.Scans.per.Measure,LS.Wavelength..nm.,LS.Status..code.,VSDO.03,VSDO.04,VSDO.05,VSDO.06,VSDO.07,VSDO.08,VSDO.09,VSDO.10,VSDO.11,VSDO.12,VSDO.13,VSDO.14,VSDO.15,VSDO.16,Map.01,Map.02,Map.03,Map.04,Map.05,Map.06,Map.07,Map.08,Map.09,Map.10,Map.11,Map.12,Map.13,Map.14,Map.15,Map.16
,3933081615.40501,220.689735412598,0,0.0347179280453589,4.34903914212343e-06,1,2,11.9032497406006,4.97963232740189,34.9499993026257,44.6143189574432,6.32725101049311,100,9.46559193779008e-06,,,,,,,,,,,,,,,,,,,,,220.686889648438,220.692581176758,0,0,48.6755252208417,4.99722640030036,8.86817836761475,24,1,0,0,1,0.24078369140625,34.7018585205078,1,1,1,220.686889648438,0,3158316864,220.689735412598,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933081810.82148,216.597640991211,0,0.0345709849000746,4.90104666082595e-06,1,2,11.9032497406006,4.97909280733771,34.9299982190132,44.4186401572309,6.30019989233767,100,9.95979455296601e-06,,,,,,,,,,,,,,,,,,,,,216.592300415039,216.602981567383,0,0,48.6688813784282,4.99841335902354,8.86647605895996,24,1,0,0,1,0.244369506835938,33.2355842590332,1,1,1,216.592300415039,0,3158316704,216.597640991211,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933082002.01238,212.636596679687,0,0.0344074018322845,6.18336045372868e-06,1,2,11.9032497406006,4.97917972810775,34.9100008606911,44.2094691532678,6.27106126859452,100,1.03166635237843e-05,,,,,,,,,,,,,,,,,,,,,212.629653930664,212.643539428711,0,0,48.7974592698417,4.9989544749764,8.83167171478271,24,1,0,0,1,0.245513916015625,33.7243423461914,1,1,1,212.629653930664,0,3158316768,212.636596679687,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933082191.86017,208.665588378906,0,0.0342266198021326,4.63900474046765e-06,1,2,11.9032497406006,4.98922798042695,34.8899997770786,44.1024728677723,6.24976744254839,100,5.60913989276032e-06,,,,,,,,,,,,,,,,,,,,,208.661209106445,208.669967651367,0,0,48.7157790895821,5.00093726398104,8.82961845397949,24,1,0,0,1,0.244140625,34.2131004333496,1,1,1,208.661209106445,0,3158316896,208.665588378906,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933082383.04182,204.69010925293,0,0.0340152525501432,5.80973749732082e-06,1,2,11.9032497406006,4.98951094962094,34.8899997770786,43.8337224105129,6.21078555262658,100,4.89195212661042e-06,,,,,,,,,,,,,,,,,,,,,204.68424987793,204.69596862793,0,0,48.8424029096975,5.00044542930637,8.80532455444336,24,1,0,0,1,0.242767333984375,34.2131004333496,1,1,1,204.68424987793,0,3158316992,204.69010925293,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933082574.82686,200.717735290527,0,0.0337932505187095,4.98128949526513e-06,1,2,11.9032497406006,4.98965216744715,34.8699986934662,43.5494215649888,6.17009884874258,100,4.55253924082358e-06,,,,,,,,,,,,,,,,,,,,,200.710815429687,200.724655151367,0,0,48.6333172808032,5.00094971659401,8.78358459472656,24,1,0,0,1,0.241851806640625,33.7243423461914,1,1,1,200.710815429687,0,3158316832,200.717735290527,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933082764.56709,196.750503540039,0,0.0335543019679507,5.40183254241087e-06,1,2,11.9032497406006,4.98962727548219,34.850001335144,43.2403295438097,6.132479514866,100,9.21616920168031e-06,,,,,,,,,,,,,,,,,,,,,196.746047973633,196.754959106445,0,0,48.7579870296205,5.00076105474561,8.76184368133545,24,1,0,0,1,0.242080688476562,33.7243423461914,1,1,1,196.746047973633,0,3158316800,196.750503540039,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933082955.89671,192.780738830566,0,0.0332873556838257,5.15841567751424e-06,1,2,11.9032497406006,4.98923031965582,34.8300002515316,42.8926208525062,6.07542154199399,100,3.25073581779269e-06,,,,,,,,,,,,,,,,,,,,,192.774978637695,192.786499023438,0,0,48.8029306694763,5.0017467329664,8.74765586853027,24,1,0,0,1,0.24261474609375,32.2580642700195,1,1,1,192.774978637695,0,3158316800,192.780738830566,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933083145.57357,188.811073303223,0,0.0329931242001292,5.10403823827893e-06,1,2,11.9032497406006,4.98918170277633,34.8099991679192,42.5121861812137,6.02673068456225,100,7.17432383837705e-06,,,,,,,,,,,,,,,,,,,,,188.806549072266,188.81559753418,0,0,48.7599411009186,5.00315540145091,8.73459911346436,24,1,0,0,1,0.24261474609375,33.2355842590332,1,1,1,188.805374145508,0,3158317152,188.811073303223,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933083334.86671,184.82935333252,0,0.0326702350833822,4.58511104686383e-06,1,2,11.9032497406006,4.98869790804346,34.790001809597,42.0904874176198,5.9664778227035,100,6.7458576612924e-06,,,,,,,,,,,,,,,,,,,,,184.823120117187,184.835586547852,0,0,48.7282851458898,5.00449119672322,8.7204122543335,24,1,0,0,1,0.243682861328125,32.2580642700195,1,1,1,184.823120117187,0,3158316768,184.82935333252,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
